Department1,Department2,Author1,Author2,Project
Medicine,Medicine,Yi Sun,Ivan Maillard,"Role of Deptor in tumorigenesis, muscle homeostasis"
LSI,Medicine,Jiandie Lin,Ivan Maillard,"Role of Deptor in tumorigenesis, muscle homeostasis"
LSI,Medicine,Jiandie Lin,Yi Sun,"Role of Deptor in tumorigenesis, muscle homeostasis"
Dentistry,Medicine,Peter X. Ma,Bo Yang,Develop patient specific vascular graft using patient's
Medicine,Medicine,Eugene Chen,Bo Yang,Develop patient specific vascular graft using patient's
Dentistry,Medicine,Peter X. Ma,Eugene Chen,Develop patient specific vascular graft using patient's
ArchUrban,Medicine,Mojtaba Navvab,Kwoon Wong,Virtual reality as a surrogate sensory environment
ArchUrban,Engineer,Mojtaba Navvab,Pei-Cheng Ku,Virtual reality as a surrogate sensory environment
Engineer,Medicine,Pei-Cheng Ku,Kwoon Wong,Virtual reality as a surrogate sensory environment
ArtDesign,SocialWork,Anne Mondro,Lydia Li,Retaining Identity:  Studying creativity's effects
ArtDesign,PubHealth,Anne Mondro,Cathleen  Connell,Retaining Identity:  Studying creativity's effects
PubHealth,SocialWork,Cathleen  Connell,Lydia Li,Retaining Identity:  Studying creativity's effects
Dentistry,Engineer,Renny T. Franceschi,Cheri X. Deng,Therapeutic Ultrasound for Bone Regeneration
Dentistry,Medicine,Renny T. Franceschi,Brian Fowlkes,Therapeutic Ultrasound for Bone Regeneration
Engineer,Medicine,Cheri X. Deng,Brian Fowlkes,Therapeutic Ultrasound for Bone Regeneration
Medicine,Medicine,Weibin Zhou,Matthew Sampson,A Functional Genomics Approach to Identify Kidney
Medicine,PubHealth,Matthew Sampson,Hyun Min Kang,A Functional Genomics Approach to Identify Kidney
Medicine,PubHealth,Weibin Zhou,Hyun Min Kang,A Functional Genomics Approach to Identify Kidney
Engineer,Engineer,Levi T. Thompson,Phillip E. Savage,Learning how to make liquid fuels from algae oil under
Engineer,NatResEnv,Phillip E. Savage,Gregory A. Keoleian,Learning how to make liquid fuels from algae oil under
Engineer,NatResEnv,Levi T. Thompson,Gregory A. Keoleian,Learning how to make liquid fuels from algae oil under
LSA:SocSci,PubPolicy,Allen Hicken,Dean Yang,Combating Vote-Selling: A Field Experiment in the
Business,PubPolicy,Stephen G. Leider,Dean Yang,Combating Vote-Selling: A Field Experiment in the
Business,LSA:SocSci,Stephen G. Leider,Allen Hicken,Combating Vote-Selling: A Field Experiment in the
Medicine,Medicine,Noelle Carlozzi,Kevin Chung,"CHAMPION: Congenital Hand Anomalies -- Measuring PROMIS,"
Medicine,OVPR,Kevin Chung,Hyungjin Myra Kim,"CHAMPION: Congenital Hand Anomalies -- Measuring PROMIS,"
Medicine,OVPR,Noelle Carlozzi,Hyungjin Myra Kim,"CHAMPION: Congenital Hand Anomalies -- Measuring PROMIS,"
Medicine,Pharmacy,Shaomeng Wang,Duxin Sun,Drug Discovery to block protein-protein interactions
Medicine,Pharmacy,Yali Dou,Duxin Sun,Drug Discovery to block protein-protein interactions
Medicine,Medicine,Yali Dou,Shaomeng Wang,Drug Discovery to block protein-protein interactions
Engineer,Medicine,Katsuo Kurabayashi,Timothy Cornell,A biochip platform to precisely detect sepsis-suffering
Engineer,Engineer,Jianping Fu,Katsuo Kurabayashi,A biochip platform to precisely detect sepsis-suffering
Engineer,Medicine,Jianping Fu,Timothy Cornell,A biochip platform to precisely detect sepsis-suffering
Business,Law,Dana M. Muir,Michael Barr,"Center on Finance, Law and Policy"
Business,Law,Gretchen Spreitzer,Michael Barr,"Center on Finance, Law and Policy"
Business,Business,Gretchen Spreitzer,Dana M. Muir,"Center on Finance, Law and Policy"
Engineer,Medicine,Edwin Romeijn,Martha Matuszak,Radiation therapy reatment plan optimization for liver
Medicine,Medicine,Mary Feng,Martha Matuszak,Radiation therapy reatment plan optimization for liver
Engineer,Medicine,Edwin Romeijn,Mary Feng,Radiation therapy reatment plan optimization for liver
Engineer,Medicine,Mariel Lavieri,Gary Freed,Strategic Health Workforce Planning
Engineer,Nursing,Mariel Lavieri,Kristy Martyn,Strategic Health Workforce Planning
Medicine,Nursing,Gary Freed,Kristy Martyn,Strategic Health Workforce Planning
Engineer,Engineer,Angela  Violi,Arvind Atreya,An autonomous biomass reactor to create carbon neutral
Business,Engineer,Owen Q. Wu,Arvind Atreya,An autonomous biomass reactor to create carbon neutral
Business,Engineer,Owen Q. Wu,Angela  Violi,An autonomous biomass reactor to create carbon neutral
Engineer,LSA:NatSci,Mark Flanner,Sarah Aciego,Dust in sea-ice: A source of nutrients and climate
Engineer,LSA:NatSci,Mark Flanner,Ingrid Hendy,Dust in sea-ice: A source of nutrients and climate
LSA:NatSci,LSA:NatSci,Ingrid Hendy,Sarah Aciego,Dust in sea-ice: A source of nutrients and climate
Medicine,Medicine,John Magee,Pratima Sharma,Survival Benefit of Simultaneous Liver and Kidney
Medicine,PubHealth,Pratima Sharma,Douglas Schaubel,Survival Benefit of Simultaneous Liver and Kidney
Medicine,PubHealth,John Magee,Douglas Schaubel,Survival Benefit of Simultaneous Liver and Kidney
LSA:NatSci,LSA:NatSci,Jeff McMahon,Chris Miller,Big Data in astronomy: U-M astroinformatics research
Engineer,LSA:NatSci,Alfred Hero,Chris Miller,Big Data in astronomy: U-M astroinformatics research
Engineer,LSA:NatSci,Alfred Hero,Jeff McMahon,Big Data in astronomy: U-M astroinformatics research
Engineer,LSA:NatSci,Xiaogan Liang,Lu Li,"Topological Insulator, Nano Transistors for Post-CMOS"
LSA:NatSci,LSA:NatSci,Kai Sun,Lu Li,"Topological Insulator, Nano Transistors for Post-CMOS"
Engineer,LSA:NatSci,Xiaogan Liang,Kai Sun,"Topological Insulator, Nano Transistors for Post-CMOS"
LSA:NatSci,Medicine,Kenneth Cadigan,James Douglas Engel,Regulating genes in animals
LSA:NatSci,Medicine,Kenneth Cadigan,Scott Barolo,Regulating genes in animals
Medicine,Medicine,Scott Barolo,James Douglas Engel,Regulating genes in animals
LSA:Hum,Medicine,Jonathan Brennan,"Renee Lajiness-O'Neill, PhD",Neural Coherence at Rest and During Language Processing
LSA:Hum,LSA:SocSci,Jonathan Brennan,Ioulia Kovelman,Neural Coherence at Rest and During Language Processing
LSA:SocSci,Medicine,Ioulia Kovelman,"Renee Lajiness-O'Neill, PhD",Neural Coherence at Rest and During Language Processing
Education,Info,Barry Fishman,Stephanie Teasley,Social Networks and Student Engagement
Education,Education,Stuart Karabenick,Barry Fishman,Social Networks and Student Engagement
Education,Info,Stuart Karabenick,Stephanie Teasley,Social Networks and Student Engagement
Engineer,LSA:NatSci,Akram Boukai,Stephen Maldonado,Thin Nanostructured Silicon Solar Cells Using Optical
Engineer,Engineer,Anish Tuteja,Akram Boukai,Thin Nanostructured Silicon Solar Cells Using Optical
Engineer,LSA:NatSci,Anish Tuteja,Stephen Maldonado,Thin Nanostructured Silicon Solar Cells Using Optical
Engineer,Medicine,Cindy Chestek,Parag Patil,Low power electronics for brain machine interface
Engineer,Engineer,Michael Flynn,Cindy Chestek,Low power electronics for brain machine interface
Engineer,Medicine,Michael Flynn,Parag Patil,Low power electronics for brain machine interface
Info,NatResEnv,Joyojeet Pal,Bilal Butt,Unintended Consequences of Technology in Development:
LSA:Hum,NatResEnv,Omolade Adunbi,Bilal Butt,Unintended Consequences of Technology in Development:
Info,LSA:Hum,Joyojeet Pal,Omolade Adunbi,Unintended Consequences of Technology in Development:
Education,Medicine,Barbara Mirel,Brian Athey,Development of Bioinformatics Tools to Support Clinical
Medicine,Medicine,Yuanfang Guan,Brian Athey,Development of Bioinformatics Tools to Support Clinical
Education,Medicine,Barbara Mirel,Yuanfang Guan,Development of Bioinformatics Tools to Support Clinical
Engineer,Engineer,Sunitha Nagrath,Omolola Eniola-Adefeso,Integrated Experimental and Computational Approach
Engineer,LSA:NatSci,Omolola Eniola-Adefeso,Shravan  Veerapaneni,Integrated Experimental and Computational Approach
Engineer,LSA:NatSci,Sunitha Nagrath,Shravan  Veerapaneni,Integrated Experimental and Computational Approach
Dentistry,Medicine,Fei Liu,Jun-Lin Guan,The roles of autophagy in mesenchymal stem cells
Dentistry,Dentistry,Paul H. Krebsbach,Fei Liu,The roles of autophagy in mesenchymal stem cells
Dentistry,Medicine,Paul H. Krebsbach,Jun-Lin Guan,The roles of autophagy in mesenchymal stem cells
LSA:NatSci,Medicine,Amy Chang,James Shayman,Regulation of Sphingolipid Homeostasis and Implications
LSA:NatSci,Medicine,Amy Chang,Peter Arvan,Regulation of Sphingolipid Homeostasis and Implications
Medicine,Medicine,Peter Arvan,James Shayman,Regulation of Sphingolipid Homeostasis and Implications
Medicine,Medicine,Christiane Wobus,Mary O'Riordan,Constructing a complex intestine in vitro
LSA:NatSci,Medicine,Ann Miller,Mary O'Riordan,Constructing a complex intestine in vitro
LSA:NatSci,Medicine,Ann Miller,Christiane Wobus,Constructing a complex intestine in vitro
Medicine,PubHealth,Sandra  Wong,Mousumi Banerjee,"Estimating conditional survival for breast, colorectal"
Medicine,Medicine,Megan Haymart,Sandra  Wong,"Estimating conditional survival for breast, colorectal"
Medicine,PubHealth,Megan Haymart,Mousumi Banerjee,"Estimating conditional survival for breast, colorectal"
Engineer,Medicine,Michael J. Solomon,John Younger,Novel treatments for infected hemodialysis catheter
Medicine,Medicine,Michael Heung,John Younger,Novel treatments for infected hemodialysis catheter
Engineer,Medicine,Michael J. Solomon,Michael Heung,Novel treatments for infected hemodialysis catheter
Medicine,PubHealth,Lena Chen,Edward Norton,Medicine Consults
Medicine,Medicine,John Birkmeyer,Lena Chen,Medicine Consults
Medicine,PubHealth,John Birkmeyer,Edward Norton,Medicine Consults
Medicine,Medicine,Richard Ohye,Martin Bocks,Bioabsorbable device for percutaneous atrial septal
Engineer,Medicine,Scott Hollister,Martin Bocks,Bioabsorbable device for percutaneous atrial septal
Engineer,Medicine,Scott Hollister,Richard Ohye,Bioabsorbable device for percutaneous atrial septal
Dentistry,Medicine,David H. Kohn,Ken Kozloff,Development of targeted nano-theranostic platform
Engineer,Medicine,Mohamed E.H. ElSayed,Ken Kozloff,Development of targeted nano-theranostic platform
Dentistry,Engineer,David H. Kohn,Mohamed E.H. ElSayed,Development of targeted nano-theranostic platform
LSA:NatSci,LSA:NatSci,Nathan Sheldon,Gregory Dick,Tracking water and biodiversity resources in the Great
LSA:NatSci,NatResEnv,Gregory Dick,G. Allen Burton,Tracking water and biodiversity resources in the Great
LSA:NatSci,NatResEnv,Nathan Sheldon,G. Allen Burton,Tracking water and biodiversity resources in the Great
Libraries,Medicine,Jean Song,Ryan Mills,Scientific Needs Assessment and Analysis of Bioinformatics
Libraries,Medicine,Jean Song,Charles Burant,Scientific Needs Assessment and Analysis of Bioinformatics
Medicine,Medicine,Charles Burant,Ryan Mills,Scientific Needs Assessment and Analysis of Bioinformatics
LSI,Medicine,Ken Inoki,Mayumi Inoue,ECM Remodeling in Diabetic Kidney Disease
Medicine,Medicine,"Frank C. Brosius, III",Mayumi Inoue,ECM Remodeling in Diabetic Kidney Disease
LSI,Medicine,Ken Inoki,"Frank C. Brosius, III",ECM Remodeling in Diabetic Kidney Disease
ISR,Info,Emily Falk,Nicole Ellison,Adolescent social connection in online environment
ISR,Info,Emily Falk,Sarita Yardi,Adolescent social connection in online environment
Info,Info,Sarita Yardi,Nicole Ellison,Adolescent social connection in online environment
LSA:NatSci,Medicine,Lyle Simmons,Harry Mobley,Preclinical development of antibacterial compound
LSA:NatSci,Medicine,Lyle Simmons,Maria Sandkvist,Preclinical development of antibacterial compound
Medicine,Medicine,Maria Sandkvist,Harry Mobley,Preclinical development of antibacterial compound
PubHealth,PubHealth,Patricia A. Peyser,Sung Kyun Park,Metals and Degenerative Diseases: an Interdisciplinary
LSI,PubHealth,Mi Hee Lim,Sung Kyun Park,Metals and Degenerative Diseases: an Interdisciplinary
LSI,PubHealth,Mi Hee Lim,Patricia A. Peyser,Metals and Degenerative Diseases: an Interdisciplinary
ISR,PubHealth,Helen Levy,Richard A. Hirth,Did the housing bubble affect long-term care insurance
ISR,PubHealth,Kenneth Langa,Richard A. Hirth,Did the housing bubble affect long-term care insurance
ISR,ISR,Kenneth Langa,Helen Levy,Did the housing bubble affect long-term care insurance
Dentistry,Dentistry,Brian A. Pierchala,Nisha J. D'Silva,Integration of cell growth and movement
Dentistry,Medicine,Nisha J. D'Silva,Roman Giger,Integration of cell growth and movement
Dentistry,Medicine,Brian A. Pierchala,Roman Giger,Integration of cell growth and movement
