Department1,Department2,Author1,Author2,Project
LSA:NatSci,NatResEnv,Vincent Denef,Bradley Cardinale,Algal biofuel and biodiversity
Engineer,Engineer,Kim F. Hayes,Brian Ellis,Hydraulic Fracturing of Shales: Water Contamination
Engineer,NatResEnv,Brian Ellis,Shelie Miller,Hydraulic Fracturing of Shales: Water Contamination
Engineer,NatResEnv,Kim F. Hayes,Shelie Miller,Hydraulic Fracturing of Shales: Water Contamination
Engineer,Engineer,Elliot Soloway,Honglak Lee,Machine Learning for Computational Healthcare
Engineer,Medicine,Honglak Lee,James Wrobel,Machine Learning for Computational Healthcare
Engineer,Medicine,Elliot Soloway,James Wrobel,Machine Learning for Computational Healthcare
LSA:NatSci,Medicine,Julie Biteen,Eric Martens,"How bacteria in the human gut recognize, bind to and"
LSA:NatSci,Medicine,Julie Biteen,Nicole Koropatkin,"How bacteria in the human gut recognize, bind to and"
Medicine,Medicine,Nicole Koropatkin,Eric Martens,"How bacteria in the human gut recognize, bind to and"
Medicine,Medicine,Todd Herron,Jose Jalife,Self-assembly of beating heart muscle derived from
Engineer,Medicine,Jan Stegemann,Jose Jalife,Self-assembly of beating heart muscle derived from
Engineer,Medicine,Jan Stegemann,Todd Herron,Self-assembly of beating heart muscle derived from
Engineer,Medicine,Mark Daskin,Robert Merion,Performance Evaluation in Organ Transplantation: Beyond
Medicine,Medicine,Alan Leichtman,Robert Merion,Performance Evaluation in Organ Transplantation: Beyond
Engineer,Medicine,Mark Daskin,Alan Leichtman,Performance Evaluation in Organ Transplantation: Beyond
Medicine,Nursing,Alla Karnovsky,Marcelline Harris,Ontology Development and Applications for Clinical
Medicine,Medicine,Yongqun He,Alla Karnovsky,Ontology Development and Applications for Clinical
Medicine,Nursing,Yongqun He,Marcelline Harris,Ontology Development and Applications for Clinical
Engineer,Medicine,Erdogan Gulari,David Engelke,Sensitive detection of molecular markers for disease
Medicine,Medicine,Thomas Wilson,David Engelke,Sensitive detection of molecular markers for disease
Engineer,Medicine,Erdogan Gulari,Thomas Wilson,Sensitive detection of molecular markers for disease
Engineer,Medicine,Jennifer J. Linderman,Santiago Schnell,Manipulating CXCL12-CXCR4 signaling pathway in breast
Engineer,Medicine,Jennifer J. Linderman,Gary Luker,Manipulating CXCL12-CXCR4 signaling pathway in breast
Medicine,Medicine,Gary Luker,Santiago Schnell,Manipulating CXCL12-CXCR4 signaling pathway in breast
Medicine,Medicine,Aaron Goldstrohm,Peter Todd,RNA structure in translation initiation and regulatio
LSI,Medicine,Daniel Southworth,Peter Todd,RNA structure in translation initiation and regulatio
LSI,Medicine,Daniel Southworth,Aaron Goldstrohm,RNA structure in translation initiation and regulatio
ISR,Medicine,Philippa Clarke,Neil Alexander,Understanding the Role of the Built Environment for
ArchUrban,ISR,Robert Adams,Philippa Clarke,Understanding the Role of the Built Environment for
ArchUrban,Medicine,Robert Adams,Neil Alexander,Understanding the Role of the Built Environment for
Medicine,OVPR,Carey Lumeng,Matthew Reed,Measurement of Body Shape Change in Children
Medicine,OVPR,Julie Lumeng,Matthew Reed,Measurement of Body Shape Change in Children
Medicine,Medicine,Julie Lumeng,Carey Lumeng,Measurement of Body Shape Change in Children
Info,PubHealth,Julia Adler-Milstein,Christy Harris Lemak,Adoption and Use of Information Technology to Improve
Info,PubHealth,Julia Adler-Milstein,Shoou-Yih Daniel Lee,Adoption and Use of Information Technology to Improve
PubHealth,PubHealth,Shoou-Yih Daniel Lee,Christy Harris Lemak,Adoption and Use of Information Technology to Improve
Law,NatResEnv,Sara Gosman,Paul Mohai,"School Siting: Environmental Justice, Health, and"
Law,PubHealth,Sara Gosman,Sara Adar,"School Siting: Environmental Justice, Health, and"
NatResEnv,PubHealth,Paul Mohai,Sara Adar,"School Siting: Environmental Justice, Health, and"
Business,PubHealth,Ravi M. Anupindi,Mark L. Wilson,Optimizing resource allocation across multiple interventions
PubHealth,PubHealth,David Hutton,Mark L. Wilson,Optimizing resource allocation across multiple interventions
Business,PubHealth,Ravi M. Anupindi,David Hutton,Optimizing resource allocation across multiple interventions
Business,LSA:SocSci,Carolyn Yoon,Shinobu Kitayama,Genes and cultural acquisition
Business,Medicine,Carolyn Yoon,Israel Liberzon,Genes and cultural acquisition
LSA:SocSci,Medicine,Shinobu Kitayama,Israel Liberzon,Genes and cultural acquisition
Medicine,Nursing,Todd Koelling,Susan J. Pressler,Improving Memory in Heart Failure
Nursing,Nursing,Marita G. Titler,Susan J. Pressler,Improving Memory in Heart Failure
Medicine,Nursing,Todd Koelling,Marita G. Titler,Improving Memory in Heart Failure
Dentistry,Medicine,Russell S. Taichman,Todd Morgan,Finding Nessy: Unlocking the secrets of the dormant
Dentistry,LSA:NatSci,Russell S. Taichman,Laura Buttitta,Finding Nessy: Unlocking the secrets of the dormant
LSA:NatSci,Medicine,Laura Buttitta,Todd Morgan,Finding Nessy: Unlocking the secrets of the dormant
Education,Engineer,Lisa Lattuca,Cynthia Finelli,Catalyzing Interdisciplinary Collaborations: Studying
Education,Education,Janet Lawrence,Lisa Lattuca,Catalyzing Interdisciplinary Collaborations: Studying
Education,Engineer,Janet Lawrence,Cynthia Finelli,Catalyzing Interdisciplinary Collaborations: Studying
Medicine,Pharmacy,Theodore Standiford,Kathleen Stringer,Using the Immune System to Target Drugs for the Treatment
Pharmacy,Pharmacy,Vicki Ellingrod,Kathleen Stringer,Using the Immune System to Target Drugs for the Treatment
Medicine,Pharmacy,Theodore Standiford,Vicki Ellingrod,Using the Immune System to Target Drugs for the Treatment
LSA:Hum,LSA:Hum,John Cheney-Lippold,Tung-Hui Hu,Digital Environments Cluster Publishing Series
Info,LSA:Hum,Finn Brunton,Tung-Hui Hu,Digital Environments Cluster Publishing Series
Info,LSA:Hum,Finn Brunton,John Cheney-Lippold,Digital Environments Cluster Publishing Series
Info,LSA:SocSci,Paul  Edwards,Christian Sandvig,New Directions in the Study of Infrastructure
Info,LSA:SocSci,Carl Lagoze,Christian Sandvig,New Directions in the Study of Infrastructure
Info,Info,Carl Lagoze,Paul  Edwards,New Directions in the Study of Infrastructure
Kines,OVPR,Rachael D. Seidler,Scott Peltier,The Aging Brain:  Network Changes and Functional Consequence
Kines,LSA:SocSci,Rachael D. Seidler,Patricia Reuter-Lorenz,The Aging Brain:  Network Changes and Functional Consequence
LSA:SocSci,OVPR,Patricia Reuter-Lorenz,Scott Peltier,The Aging Brain:  Network Changes and Functional Consequence
ArtDesign,LSA:NatSci,Jim Cogswell,Gregory Tarlé,In the Dark
LSA:NatSci,Music,Gregory Tarlé,Stephen Rush,In the Dark
ArtDesign,Music,Jim Cogswell,Stephen Rush,In the Dark
Medicine,Medicine,Tim Peterson,Jeff Kullgren,Usability and Impact of Health Care Price Transparency
Medicine,PubHealth,Jeff Kullgren,Simone Singh,Usability and Impact of Health Care Price Transparency
Medicine,PubHealth,Tim Peterson,Simone Singh,Usability and Impact of Health Care Price Transparency
Engineer,NatResEnv,Nancy G. Love,Josh Newell,Innovatively Planning for Technological Innovation:
ArchUrban,NatResEnv,Richard Norton,Josh Newell,Innovatively Planning for Technological Innovation:
ArchUrban,Engineer,Richard Norton,Nancy G. Love,Innovatively Planning for Technological Innovation:
Engineer,Engineer,Karl Krushelnick,Alexander Thomas,Using a laser to accelerate electrons and make a movie
Engineer,LSA:NatSci,Alexander Thomas,Roy Clarke,Using a laser to accelerate electrons and make a movie
Engineer,LSA:NatSci,Karl Krushelnick,Roy Clarke,Using a laser to accelerate electrons and make a movie
PubHealth,PubPolicy,Diana Bowman,Shobita Parthasarathy,Governance of Disruptive Technologies
PubHealth,PubPolicy,Richard Neitzel,Shobita Parthasarathy,Governance of Disruptive Technologies
PubHealth,PubHealth,Richard Neitzel,Diana Bowman,Governance of Disruptive Technologies
ArtDesign,Music,Nick Tobier,Priscilla Lindsay,Building a Bigger Broader Creative Class
ArtDesign,SocialWork,Nick Tobier,Larry Gant,Building a Bigger Broader Creative Class
Music,SocialWork,Priscilla Lindsay,Larry Gant,Building a Bigger Broader Creative Class
